XRTSURG7: Radiotherapy VERSUS the same management without radiotherapy: ! Radiotherapy vs. Not
radiotherapy : control = Radio. : Control = Radio. : Control
 1410 2v1             * Various         -
 1411 2v1             * Various         -
 1505 1v2             ?                 ?
 1506 1v2             ?                 ?
 1803 3+4+5+6v1+2     * B+S+AF+IMC     ?
 2620 1v2             * B(S)           B [50 Gy 30/f] +- BST [10 Gy] + tamoxifen/arimidex vs tamoxifen/arimidex
 3512 1v2             B+S              MV 50Gy breast/wall
 3526 1v2             * B+S            MV 50Gy breast/wall
 3908 2v1             B+S              RT vs not
 3908 4v3             B+S*             RT + tam vs tam
 4405 1v2             B                MV 48-54 Gy breast/wall
 4504 1v2             * B+S            B [40 Gy 16/f] + BST [12.5 Gy 5/f] + tamoxifen vs tamoxifen
 4715 3v2             * B              MV 50Gy breast/wall
 4752 3v2             * B              MV 50Gy breast/wall
 4725 2v3             * B+S            -
 5011 2v1             * BS+(AF)+IMC    MV 40-50Gy breast/wall; MV 40-50Gy axilla/fossa
 5023 2v1             * BS+(AF)+IMC    MV 40-50Gy breast/wall; MV 40-50Gy axilla/fossa
38501 3v1             Various           RT vs not
38501 4v2             * Various         RT + tam vs tam
38504 2v1             Various           RT vs not
38505 2v1             * Various         RT + tam vs tam
 5034 1v2             * B(S)           MV
 5039 1v2             *B+S             RT + hormonal vs hormonal; 40-50 Gy MV breast 10-15 Gy e or Ir192 boost
 6309 2v1             B                MV 66Gy breast/wall
 8315 1v2             * B+             ?
 8721 1v2             ?                 postoperative
14103 1v2             B+S              MV 52·5Gy breast/wall
15002 1v2             * B              MV 54Gy breast/wall; MV 50Gy axilla/fossa
15003 1v2             * B+AF           MV 54Gy breast/wall; MV 50Gy axilla/fossa
15004 1v2             * B              MV 54Gy breast/wall; MV 50Gy axilla/fossa
15005 1v2             * B+AF           MV 54Gy breast/wall; MV 50Gy axilla/fossa
15006 1v2             * B              MV 54Gy breast/wall; MV 50Gy axilla/fossa
15007 1v2             * B+AF           MV 54Gy breast/wall; MV 50Gy axilla/fossa
15008 1v2             * B              MV 54Gy breast/wall; MV 50Gy axilla/fossa
15009 1v2             * B+AF           MV 54Gy breast/wall; MV 50Gy axilla/fossa
21601 1v2             B                MV 54Gy breast/wall
21602 1v2             B                MV 54Gy breast/wall
29001 1v2             B                50Gy breast/wall
31801 1v2             * B              BCS+AC2 tam if postm, TFF if premen; 50-56 Gy breast  
35801 2v1             * B+S            50 Gy breast; 10 Gy boost  + chemo vs chemo           
35802 2v1             * B+S            50 Gy breast; 10 Gy boost  + horm vs horm           
35803 2v1             * B+S            50 Gy breast; 10 Gy boost  + (chemo+horm) vs (chemo+horm)           
35804 2v1             * B+S            50 Gy breast; 10 Gy boost  + unspec vs unspec           
 9999 breast conservation, generally with axillary dissection
 1102 3v1             * BW+S+AF+IMC     MV 47·5Gy breast/wall; MV 47·5Gy axilla/fossa; MV 47·5Gy int. chain
 1102 4v2             * BW+S+AF+IMC       MV 47·5Gy breast/wall; MV 47·5Gy axilla/fossa; MV 47·5Gy int. chain
 1217 1v2             * BW+AF+IMC       50 Gy or 50.4 Gy 
 2001 1+2v3           BW+AF+(IMC)         MV 45Gy breast/wall; MV 45Gy axilla/fossa; MV 45Gy int. chain
 2102 3v2             * AF+IMC          MV 40Gy breast/wall; MV 40Gy axilla/fossa
 2102 6v5             * AF+IMC          MV 40Gy breast/wall; MV 40Gy axilla/fossa
 2206 1v2             * BW+AF+IMC       - 50Gy breast/wall; - 50Gy axilla/fossa; - 50Gy int. chain
 2207 1v2             * BW+AF+IMC       - 50Gy breast/wall; - 50Gy axilla/fossa; - 50Gy int. chain
 2211 1v2             * BW+AF+IMC       - 50Gy breast/wall; - 50Gy axilla/fossa; - 50Gy int. chain
 3514 2v1             AF+IMC            MV 45Gy axilla/fossa; MV 45Gy int. chain
 3902 2v1             * BW+AF+IMC       MV 50Gy breast/wall; MV 50Gy axilla/fossa; MV 44Gy int. chain
 4004 2v1             * BW+AF+IMC       MV 46-50Gy breast/wall; MV 46-50Gy axilla/fossa; MV 40Gy int. chain
 4401 2v3             * BW+AF+IMC       MV 38Gy breast/wall; MV 48-60Gy axilla/fossa; MV 48Gy int. chain
